1985-11-06,Waived,SEA,Alex Stivrins
1985-11-07,Waived,GSW,Guy Williams
1985-11-08,Waived,NJN,Yvon Joseph
1985-11-09,Claimed,UTA,Chuck Aleksinas
1985-11-11,Waived,MIL,Bryan Warrick
1985-11-12,Waived,NYK,Butch Carter
1985-11-12,Waived,POR,Ben Coleman
1985-11-14,Signed,WSB,George Johnson
1985-11-15,Signed,LAC,Jim Thomas
1985-11-18,Waived,DET,Walker Russell
1985-11-18,Signed,SAC,Terry Tyler
1985-11-20,Waived,SAC,David Cooke
1985-11-21,Signed,DET,Ron Crevier
1985-11-23,Waived,LAL,Chuck Nevitt
1985-11-25,Traded,DAL;LAC,[James Donaldson];[Kurt Nimphius]
1985-11-25,Waived,WSB,George Johnson
1985-11-26,Waived,DAL,Wallace Bryant
1985-11-27,Waived,WSB,Perry Moss
1985-11-29,Signed,DET,Chuck Nevitt
1985-12-02,Waived,BOS,Sly Williams
1985-12-02,Waived,DET,Ron Crevier
1985-12-04,Waived,ATL,Ray Williams
1985-12-04,Signed,PHI,Perry Moss
1985-12-05,Signed,PHI,Butch Carter
1985-12-05,Waived,PHI,Voise Winters
1985-12-10,Traded,CLE,Ron Anderson
1985-12-10,Traded,IND;CLE,[Ron Anderson];[]
1985-12-10,Waived,LAC,Jim Thomas
1985-12-16,Waived,CLE,Ennis Whatley
1985-12-16,Waived,PHI,Butch Carter
1985-12-17,Waived,CHI,Billy McKinney
1985-12-17,Signed,SAC,Mike Bratz
1985-12-17,Waived,LAC,Jay Murphy
1985-12-17,Waived,SAC,Michael Adams
1985-12-17,Waived,SEA,Rod Higgins
1985-12-27,Signed,WSB,Freeman Williams
1986-01-02,Signed,WSB,Ennis Whatley
1986-01-06,Signed,LAC,Wallace Bryant
1986-01-10,Traded,WSB;PHI,[Leon Wood];[Kenny Green]
1986-01-10,Traded,PHI;WSB,[Kenny Green];[Leon Wood]
1986-01-11,Signed,MIL,Mike Glenn
1986-01-11,Signed,CLE,Ron Brewer
1986-01-13,Signed,MIL,Earl Jones
1986-01-14,Traded,POR;LAC,[Arvydas Sabonis;1988 Round 1 Draft Pick (Rolando Ferreira)];[Darnell Valentine;1988 Round 2 Draft Pick (Tom Garrick)]
1986-01-15,Waived,IND,Quinn Buckner
1986-01-15,Signed,SAS,Rod Higgins
1986-01-16,Signed,SEA,David Pope
1986-01-19,Signed,WSB,Claude Gregory
1986-01-23,Signed,DAL,Harold Keeling
1986-01-28,Signed,WSB,Kevin McKenna
1986-01-31,Signed,LAC,Jeff Cross
1986-01-31,Signed,PHI,Bob McAdoo
1986-02-01,Signed,SAS,Ennis Whatley
1986-02-03,Waived,MIL,Jeff Lamp
1986-02-10,Traded,ATL;CLE,[Johnny Davis];[Eddie Johnson]
1986-02-11,Signed,SAS,Jeff Lamp
1986-02-11,Signed,SAS,Ray Williams
1986-02-11,Signed,SEA,David Pope
1986-02-12,Signed,CHI,Mike Holton
1986-02-12,Signed,NYK,Chris McNealy
1986-02-13,Signed,IND,Bryan Warrick
1986-02-15,Traded,UTA;SAS,[Jeff Cook;Marc Iavaroni];[Jeff Wilkins]
1986-02-21,Signed,NJN,Rod Higgins
1986-02-22,Signed,CHI,Tony Brown
1986-02-24,Signed,POR,Brian Martin
1986-03-01,Signed,CHI,Mike Holton
1986-03-04,Signed,CLE,Ben McDonald
1986-03-10,Signed,LAL,Jerome Henderson
1986-03-10,Signed,MIL,Derrick Rowland
1986-03-14,Signed,CHI,Rod Higgins
1986-03-14,Waived,HOU,John Lucas
1986-03-19,Signed,LAL,Petur Guðmundsson
1986-03-25,Signed,NYK,Ken Green
1986-03-26,Signed,POR,Brian Martin
1986-03-27,Waived,CHI,Rod Higgins
1986-03-28,Waived,SAS,Ray Williams
1986-03-29,Signed,PHO,Sedric Toney
1986-03-30,Claimed,NJN,Ray Williams
1986-03-30,Waived,SAS,Mike Brittain
1986-03-31,Signed,LAC,Ozell Jones
1986-04-04,Signed,NYK,Ken Green
1986-04-04,Signed,PHI,Michael Young
1986-04-10,Waived,UTA,Pace Mannion
1986-04-15,Waived,NJN,Kevin McKenna
1986-05-06,Signed,POR,Fernando Martin
1986-05-13,Signed,WSB,Michael Adams
1986-05-19,Signed,SAC,Brook Steppe
1986-06-08,Released,PHO,Rod Foster
1986-06-16,Signed,CLE,Adrian Branch
1986-06-16,Traded,PHI;CLE,[Roy Hinson];[Brad Daugherty]
